time_range,rank,track_name,track_id,artist_names,album_name,album_release_date,duration_ms,explicit,isrc,spotify_url,album_image_url
medium_term,9,Dirty Little Secret,0gSNi1CGG7ExDV8UvUsSoj,The All-American Rejects,Move Along,2005-07-12,193485,False,USDW10500128,https://open.spotify.com/track/0gSNi1CGG7ExDV8UvUsSoj,https://i.scdn.co/image/ab67616d0000b27305b9e4f856db958eacdb7cb3
medium_term,10,crushcrushcrush,3VA4sjTMSTTF02hFGmlpJh,Paramore,Riot!,2007-06-12,189373,False,USAT20702606,https://open.spotify.com/track/3VA4sjTMSTTF02hFGmlpJh,https://i.scdn.co/image/ab67616d0000b273bee754528c08d5ff6799a1eb
medium_term,11,Chokehold,1Uifdytv882RtTn6Gr4xAA,Sleep Token,Take Me Back To Eden,2023-05-19,304023,False,GBUM72200345,https://open.spotify.com/track/1Uifdytv882RtTn6Gr4xAA,https://i.scdn.co/image/ab67616d0000b2730b73608b678f169d3c8f35f0
medium_term,12,Damocles,3enIFKYJKSVyjXVzmup28I,Sleep Token,Even In Arcadia,2025-05-09,264836,False,USRC12500020,https://open.spotify.com/track/3enIFKYJKSVyjXVzmup28I,https://i.scdn.co/image/ab67616d0000b273882265cd9bdded9ea9a153b9
medium_term,13,Mr. Brightside,003vvx7Niy0yvhvHt4a68B,The Killers,Hot Fuss,2004,222973,False,USIR20400274,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B,https://i.scdn.co/image/ab67616d0000b273ccdddd46119a4ff53eaf1f5d
medium_term,14,The Summoning,0S38Oso3I9vpDXcTb7kYt9,Sleep Token,Take Me Back To Eden,2023-05-19,395716,False,GBUM72200352,https://open.spotify.com/track/0S38Oso3I9vpDXcTb7kYt9,https://i.scdn.co/image/ab67616d0000b2730b73608b678f169d3c8f35f0
medium_term,15,All The Small Things,2m1hi0nfMR9vdGC8UcrnwU,blink-182,Enema Of The State,1999-06-01,167066,False,USMC19959123,https://open.spotify.com/track/2m1hi0nfMR9vdGC8UcrnwU,https://i.scdn.co/image/ab67616d0000b2736da502e35a7a3e48de2b0f74
medium_term,16,The Kill (Bury Me),12IZu2qzsoaHgHlCfjwwjs,Thirty Seconds To Mars,A Beautiful Lie (Brazilian Version),2005,231533,False,USVI20500136,https://open.spotify.com/track/12IZu2qzsoaHgHlCfjwwjs,https://i.scdn.co/image/ab67616d0000b273f0b0a20bf4ddc2c9af6d53e0
medium_term,17,Specter,5krhWYmWIKJhI96deUujm8,Bad Omens,Specter,2025-08-09,274408,False,USYFZ2559001,https://open.spotify.com/track/5krhWYmWIKJhI96deUujm8,https://i.scdn.co/image/ab67616d0000b273291facfe6e704c2a78d36782
medium_term,18,Dangerous,105Fwh9wijwT41rrfgSnrE,Sleep Token,Even In Arcadia,2025-05-09,251373,False,USRC12500016,https://open.spotify.com/track/105Fwh9wijwT41rrfgSnrE,https://i.scdn.co/image/ab67616d0000b273882265cd9bdded9ea9a153b9
